name,price,id,place,date
ORATA NAZIONALE,4.2,t0004,pl001,2022-01-18
UOVA GRANDI PRIMIA,1.99,t0004,pl001,2022-01-18
Sconto Articolo,-0.4,t0004,pl001,2022-01-18
RISO PRIMIA ARBORIO,1.99,t0004,pl001,2022-01-18
Sconto Articolo,-0.49,t0004,pl001,2022-01-18
CIPOLLE GIALLE,1.28,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.26,t0004,pl001,2022-01-18
SACCHETTO BIO,0.02,t0004,pl001,2022-01-18
SOLE DET.LIO COL,3.49,t0004,pl001,2022-01-18
MINESTRONE LEGUMI,2.5,t0004,pl001,2022-01-18
Sconto Buoni,-0.63,t0004,pl001,2022-01-18
TE' TWININGS,3.1,t0004,pl001,2022-01-18
Sconto DupliCard,-0.61,t0004,pl001,2022-01-18
TE TWININGS,3.1,t0004,pl001,2022-01-18
Sconto Dupi iCard,-0.61,t0004,pl001,2022-01-18
CAROTE SFUSE,1.05,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.21,t0004,pl001,2022-01-18
SACCHETTO BIO,0.02,t0004,pl001,2022-01-18
FARINA POLENTA TARAG,1.59,t0004,pl001,2022-01-18
Sconto Buoni,-0.4,t0004,pl001,2022-01-18
PATATE DOLCI,1.16,t0004,pl001,2022-01-18
Sconto Buoni,-0.29,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.17,t0004,pl001,2022-01-18
MOZZ.PUGLIESE ABB,2.99,t0004,pl001,2022-01-18
Sconto % Bollone,-1.5,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.22,t0004,pl001,2022-01-18
SALSICCIA SENSATIONA,4.99,t0004,pl001,2022-01-18
Scento % Bollone,-2.5,t0004,pl001,2022-01-18
SALVAMINUTI PEDON,2.89,t0004,pl001,2022-01-18
YOG.BIANCO MILA,2.5,t0004,pl001,2022-01-18
SEDANO VERDE,0.99,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.2,t0004,pl001,2022-01-18
FAG.CANNELL.PRIMIA,1.79,t0004,pl001,2022-01-18
Sconto Articolo,-0.29,t0004,pl001,2022-01-18
LENTICCHIE PRIMIA,1.39,t0004,pl001,2022-01-18
Sconto Articolo,-0.4,t0004,pl001,2022-01-18
PAN DI ZUCCHERO,1.49,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.3,t0004,pl001,2022-01-18
ZUPPA LEGUMI PRIMIA,1.99,t0004,pl001,2022-01-18
Sconto Articolo,-0.49,t0004,pl001,2022-01-18
FUNGHI CHAMPIGNON,2.4,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.48,t0004,pl001,2022-01-18
PREZZEMOLO,0.63,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.13,t0004,pl001,2022-01-18
BANANE,1.71,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.94,t0004,pl001,2022-01-18
SACCHETTO BIO,0.02,t0004,pl001,2022-01-18
MELE FUJI,2.79,t0004,pl001,2022-01-18
Sconto UNISPESA,-0.56,t0004,pl001,2022-01-18
SACCHETTO BIO,0.02,t0004,pl001,2022-01-18
FARINA CECI V/V BIO,2.29,t0004,pl001,2022-01-18
0SSOBUCO DI TACCHINO,3.01,t0004,pl001,2022-01-18
Sconto % Bollone,-1.5,t0004,pl001,2022-01-18
TOTALE COMPLESSIVO,46.4,t0004,pl001,2022-01-18
,,t0004,pl001,2022-01-18
PRICE SKEWNESS,-0.6,t0004,pl001,2022-01-18
ORATA NAZIONALE,4.2,t0005,pl001,2022-01-18
UOVA GRANDI PRIMIA,1.99,t0005,pl001,2022-01-18
Sconto Articolo,-0.4,t0005,pl001,2022-01-18
RISO PRIMIA ARBORIO,1.99,t0005,pl001,2022-01-18
Sconto Articolo,-0.49,t0005,pl001,2022-01-18
CIPOLLE GIALLE,1.28,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.26,t0005,pl001,2022-01-18
SACCHETTO BIO,0.02,t0005,pl001,2022-01-18
SOLE DET.LIO COL,3.49,t0005,pl001,2022-01-18
MINESTRONE LEGUMI,2.5,t0005,pl001,2022-01-18
Sconto Buoni,-0.63,t0005,pl001,2022-01-18
TE' TWININGS,3.1,t0005,pl001,2022-01-18
Sconto DupliCard,-0.61,t0005,pl001,2022-01-18
TE TWININGS,3.1,t0005,pl001,2022-01-18
Sconto Dupi iCard,-0.61,t0005,pl001,2022-01-18
CAROTE SFUSE,1.05,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.21,t0005,pl001,2022-01-18
SACCHETTO BIO,0.02,t0005,pl001,2022-01-18
FARINA POLENTA TARAG,1.59,t0005,pl001,2022-01-18
Sconto Buoni,-0.4,t0005,pl001,2022-01-18
PATATE DOLCI,1.16,t0005,pl001,2022-01-18
Sconto Buoni,-0.29,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.17,t0005,pl001,2022-01-18
MOZZ.PUGLIESE ABB,2.99,t0005,pl001,2022-01-18
Sconto % Bollone,-1.5,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.22,t0005,pl001,2022-01-18
SALSICCIA SENSATIONA,4.99,t0005,pl001,2022-01-18
Scento % Bollone,-2.5,t0005,pl001,2022-01-18
SALVAMINUTI PEDON,2.89,t0005,pl001,2022-01-18
YOG.BIANCO MILA,2.5,t0005,pl001,2022-01-18
SEDANO VERDE,0.99,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.2,t0005,pl001,2022-01-18
FAG.CANNELL.PRIMIA,1.79,t0005,pl001,2022-01-18
Sconto Articolo,-0.29,t0005,pl001,2022-01-18
LENTICCHIE PRIMIA,1.39,t0005,pl001,2022-01-18
Sconto Articolo,-0.4,t0005,pl001,2022-01-18
PAN DI ZUCCHERO,1.49,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.3,t0005,pl001,2022-01-18
ZUPPA LEGUMI PRIMIA,1.99,t0005,pl001,2022-01-18
Sconto Articolo,-0.49,t0005,pl001,2022-01-18
FUNGHI CHAMPIGNON,2.4,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.48,t0005,pl001,2022-01-18
PREZZEMOLO,0.63,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.13,t0005,pl001,2022-01-18
BANANE,1.71,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.94,t0005,pl001,2022-01-18
SACCHETTO BIO,0.02,t0005,pl001,2022-01-18
MELE FUJI,2.79,t0005,pl001,2022-01-18
Sconto UNISPESA,-0.56,t0005,pl001,2022-01-18
SACCHETTO BIO,0.02,t0005,pl001,2022-01-18
FARINA CECI V/V BIO,2.29,t0005,pl001,2022-01-18
0SSOBUCO DI TACCHINO,3.01,t0005,pl001,2022-01-18
Sconto % Bollone,-1.5,t0005,pl001,2022-01-18
TOTALE COMPLESSIVO,46.4,t0005,pl001,2022-01-18
,,t0005,pl001,2022-01-18
PRICE SKEWNESS,-0.6,t0005,pl001,2022-01-18
